Unit	N0	N1	N2	Pop	Pop_Cent_Lon	Pop_Cent_Lat	Area_Cent_Lon	Area_Cent_Lat
195	Portugal	Beja	Moura	15786.0	-7.448601326149998	38.140268913708276	-7.449999999999989	38.09166666666666
196	Portugal	Beja	Odemira	25953.0	-8.647102864583331	37.602029569892466	-8.633333333333326	37.54999999999999
197	Portugal	Beja	Ourique	5696.0	-8.223880323054345	37.655062641199414	-8.26666666666668	37.56666666666666
198	Portugal	Beja	Serpa	15957.0	-7.594064856711924	37.94471466364323	-7.5	37.84166666666666
199	Portugal	Beja	Vidigueira	6022.0	-7.801907719609574	38.20999768196568	-7.758333333333326	38.158333333333324
200	Portugal	Braga	Amares	19258.0	-8.36218756563747	41.633199123527795	-8.349999999999994	41.62499999999999
201	Portugal	Braga	Barcelos	120339.0	-8.612717844407626	41.538187772029225	-8.616666666666674	41.42499999999999
202	Portugal	Braga	Braga	174032.0	-8.419800813008152	41.55015285383141	-8.416666666666657	41.408333333333324
203	Portugal	Braga	Cabeceiras de Basto	17051.0	-7.995094305404422	41.511601267365336	-7.958333333333343	41.383333333333326
204	Portugal	Braga	Celorico de Basto	20648.0	-8.01239935587762	41.39795355035218	-8.050000000000011	41.349999999999994
205	Portugal	Braga	Esposende	32875.0	-8.770011876484574	41.542479003166726	-8.758333333333326	41.508333333333326
206	Portugal	Braga	Fafe	52182.0	-8.1735657649254	41.45285680098117	-8.158333333333331	41.42499999999999
207	Portugal	Braga	Guimarães	158740.0	-8.302839702760082	41.44622044622044	-8.341666666666669	41.44166666666666
208	Portugal	Braga	Póvoa de Lanhoso	22459.0	-8.267825641025667	41.576916574788676	-8.258333333333326	41.54999999999999
209	Portugal	Braga	Terras de Bouro	7510.0	-8.30620833333333	41.71374358974358	-8.241666666666674	41.633333333333326
210	Portugal	Braga	Vieira do Minho	14352.0	-8.141988168724282	41.63589999999999	-8.166666666666657	41.54166666666666
211	Portugal	Braga	Vila Nova de Famalicão	136702.0	-8.511480884385065	41.40850906966392	-8.5	41.29999999999999
