from_loc,to_loc,amount,from_x,from_y,to_x,to_y
Cameroon,Tanzania,,12.7428999,5.6972799,34.8255997,-6.2655201
Cameroon,Thailand,,12.7428999,5.6972799,101.0179977,15.1072998
Cameroon,Togo,64,12.7428999,5.6972799,0.977212,8.52841
Cameroon,Trinidad,,12.7428999,5.6972799,-61.2568016,10.4691
Cameroon,UAE,,12.7428999,5.6972799,54.3308983,23.9132004
Cameroon,UK,105,12.7428999,5.6972799,-2.87005,54.1386986
Cameroon,USA,224,12.7428999,5.6972799,-112.9820023,45.718399
Cameroon,USVI,,12.7428999,5.6972799,-64.8049011,17.9848995
Cameroon,Yemen,,12.7428999,5.6972799,47.6422997,15.7990999
Cameroon,Zambia,,12.7428999,5.6972799,27.7943001,-13.4575996
Guinea,Albania,,-10.9386997,10.4348001,20.0701008,41.1427002
Guinea,Algeria,,-10.9386997,10.4348001,2.64733,28.1681995
Guinea,American Samoa,,-10.9386997,10.4348001,-170.3880005,-14.2000999
Guinea,Andorra,,-10.9386997,10.4348001,1.5762399,42.5507011
Guinea,Angola,,-10.9386997,10.4348001,17.5508995,-12.2986002
Guinea,Belgium,,-10.9386997,10.4348001,4.66083,50.6417999
Guinea,Benin,92,-10.9386997,10.4348001,2.3392799,9.6496096
Guinea,Botswana,,-10.9386997,10.4348001,23.8143005,-22.1889
Guinea,Brazil,40,-10.9386997,10.4348001,-53.0798988,-10.7670002
Guinea,Burkina Faso,78,-10.9386997,10.4348001,-1.74676,12.2735004
Guinea,British Virgin Islands,,-10.9386997,10.4348001,-64.5175018,18.5112
Guinea,Cameroon,,-10.9386997,10.4348001,12.7428999,5.6972799
Guinea,Canada,,-10.9386997,10.4348001,-98.2525024,61.4627991
Guinea,Central African Republic,227,-10.9386997,10.4348001,20.4869003,6.57412
Guinea,Chad,,-10.9386997,10.4348001,18.6665993,15.3648996
Guinea,Chile,,-10.9386997,10.4348001,-71.384201,-37.9366989
Guinea,China,,-10.9386997,10.4348001,103.8320007,36.5632019
Guinea,CIV,4955,-10.9386997,10.4348001,-5.5539699,7.6232901
Guinea,Comoros,,-10.9386997,10.4348001,43.6711006,-11.8874998
Guinea,Congo,,-10.9386997,10.4348001,15.2454996,-0.831419
Guinea,Croatia,,-10.9386997,10.4348001,16.4202003,45.0259018
Guinea,DRC,,-10.9386997,10.4348001,23.6576004,-2.8792601
Guinea,East Timor,,-10.9386997,10.4348001,125.8519974,-8.8202496
Guinea,Egypt,,-10.9386997,10.4348001,29.7819004,26.5615997
Guinea,Equatorial Guinea,,-10.9386997,10.4348001,10.3345003,1.70281
Guinea,Estonia,,-10.9386997,10.4348001,25.5494995,58.6731987
Guinea,Falkland Islands (Islas Malvinas),,-10.9386997,10.4348001,-59.3824005,-51.7450981
Guinea,France,287,-10.9386997,10.4348001,2.5501699,46.5621986
Guinea,Gabon,,-10.9386997,10.4348001,11.7837,-0.622679
Guinea,Gambia,728,-10.9386997,10.4348001,-15.3882999,13.4466
