Unit	N0	N1	N2	Pop	Pop_Cent_Lon	Pop_Cent_Lat	Area_Cent_Lon	Area_Cent_Lat
34	Spain	Comunidad Valenciana	Alicante	1557097.0	-0.4875721260541468	38.374941155958496	-0.5999999999999943	38.34166666666666
35	Spain	Comunidad Valenciana	Castellón	501240.0	-0.0441542538915769	39.97747217813419	-0.15000000000000568	40.158333333333324
36	Spain	Comunidad Valenciana	Valencia	2326081.0	-0.38637598068800116	39.45902163552947	-0.875	39.20833333333333
37	Spain	Extremadura	Badajoz	676396.0	-6.967976006191947	38.86940929614873	-6.166666666666657	37.99999999999999
38	Spain	Extremadura	Cáceres	408899.0	-6.112500000000011	39.806509994597505	-6.083333333333343	39.199999999999996
39	Spain	Galicia	A Coruña	1042914.0	-8.357199723087575	43.28952892889913	-8.574999999999989	42.94166666666666
40	Spain	Galicia	Lugo	342737.0	-7.561065028161806	43.022863577863575	-7.425000000000011	42.76666666666666
41	Spain	Galicia	Ourense	332618.0	-7.863230900554839	42.33113376458357	-7.541666666666657	41.73333333333333
42	Spain	Galicia	Pontevedra	896137.0	-8.695181541111765	42.2469385115001	-8.625	42.383333333333326
43	Spain	Islas Baleares	Baleares	898352.0	2.657673479516319	39.58294615690589	2.89166666666668	39.04166666666666
44	Spain	Islas Canarias	Las Palmas	892096.0	-15.449379516179704	28.097070103562068	-14.058333333333337	28.18333333333333
45	Spain	Islas Canarias	Santa Cruz de Tenerife	839102.0	-16.33683025130395	28.421690896600374	-16.633333333333326	27.974999999999994
46	Spain	La Rioja	La Rioja	299580.0	-2.4424489936586724	42.451828025749236	-2.4916666666666742	41.30833333333333
47	Spain	País Vasco	Álava	310882.0	-2.679578108672928	42.85684833253001	-2.708333333333343	42.12499999999999
48	Spain	País Vasco	Guipúzcoa	689013.0	-2.1106712962963172	43.28181432533855	-2.2166666666666686	42.599999999999994
49	Spain	País Vasco	Vizcaya	1130261.0	-2.9467491972507673	43.27462731859044	-2.9083333333333314	42.86666666666666
50	Spain	Principado de Asturias	Asturias	1062126.0	-5.791197623514677	43.41772655949314	-5.800000000000011	42.533333333333324
51	Spain	Región de Murcia	Murcia	1310765.0	-1.2001760086650393	37.961267837609384	-1.6333333333333258	37.56666666666666
52	France	Auvergne-Rhône-Alpes	Ain	568858.0	5.515674603174631	46.15142150980056	5.324999999999989	45.05833333333333
